,source,target,weight
95,GNAT1,CEP290,0.577093373556044
96,TMA7,CEP290,0.561561454159235
97,C2CD2L,CEP290,0.519050922729562
98,NR2E3,CEP290,0.600638299725661
99,SLC24A1,CEP290,0.59839266267378
100,ELOVL4,CEP290,0.593221054355364
101,RS1,CEP290,0.616978061009939
102,UPF3B,CEP290,0.522330469243055
103,DMD,CEP290,0.580508114359672
104,CCDC59,CCDC59,1
105,PPFIA2,PPFIA2,1
106,LIN7A,LIN7A,1
107,CALM1,LIN7A,0.573110208895217
108,CHGA,LIN7A,0.505940991559465
109,PRKCE,LIN7A,0.573709244945099
110,GNAO1,LIN7A,0.551101820399378
111,PPP1R12A,PPP1R12A,1
112,SYT1,SYT1,1
113,ATXN7L3B,SYT1,0.546246686721346
114,TSPYL4,SYT1,0.599352374922739
115,SERINC1,SYT1,0.625629395269563
116,CISD1,SYT1,0.528662155918625
117,ZWINT,SYT1,0.555814039352448
118,MIF,SYT1,0.508388191870436
119,ADARB1,SYT1,0.502444507300836
120,RRP1,SYT1,0.559828505120097
121,ATP6V0A1,SYT1,0.532297738916935
122,NSF,SYT1,0.578645329959267
123,MAPT,SYT1,0.587003951895471
124,PRKAR1A,SYT1,0.519298954390505
125,CYGB,SYT1,0.555090925542239
126,MDH1,SYT1,0.565241047039499
127,NSG2,SYT1,0.564314660378947
128,CYFIP2,SYT1,0.510246640192825
129,CANX,SYT1,0.523259055747593
130,PPP2CA,SYT1,0.516951714288144
131,SKP1A,SYT1,0.515628644851325
132,VDAC1,SYT1,0.561276346244439
133,RNF187,SYT1,0.567705092445223
134,SNAP47,SYT1,0.523449105413117
135,VAMP2,SYT1,0.569429182313324
136,A030009H04RIK,SYT1,0.541399726025004
137,CHD3,SYT1,0.548758118046522
138,PAFAH1B1,SYT1,0.580553799491093
139,CDK5R1,SYT1,0.500169161150131
140,DYNLL2,SYT1,0.609838411154639
141,THRA,SYT1,0.599366211594489
142,CHGA,SYT1,0.55441430003072
143,MEG3,SYT1,0.576582800205517
144,KLC1,SYT1,0.603714137374785
145,VSNL1,SYT1,0.533304633604351
146,MYT1L,SYT1,0.52032255380465
147,FKBP3,SYT1,0.524751261191411
148,RTN1,SYT1,0.546135836727569
149,ATP6V1D,SYT1,0.565289918280344
150,NRSN1,SYT1,0.559657035515307
