Gene,P_adj,Fold_Change,Log2_Fold_Change
RABGEF1,4.415513271332443e-39,2.9671247,1.5690656
ANKRD33B,6.130939100677117e-39,3.3282146,1.7347485
C2CD2L,2.65175989028342e-37,3.3282113,1.734747
BC033916,4.736222527526539e-37,2.2083726,1.1429837
SLCO4A1,1.7449642301914793e-36,3.9509773,1.9822096
OTUD7B,7.789888367340546e-36,3.0308144,1.5997055
IER3,2.2963598526957573e-32,4.326049,2.11305
LLGL2,5.977741127757375e-32,4.0955086,2.0340426
DMD,7.74826862473147e-32,2.319621,1.2138891
2610034M16RIK,1.0032814541575089e-29,3.8117738,1.9304625
KCNJ14,1.1117569911241966e-28,3.255987,1.703095
CPT1A,6.0229697337091315e-28,3.3903048,1.761415
PPAP2C,4.5259118305193754e-27,4.755599,2.249627
ESRRB,7.369499592487372e-26,3.6113799,1.8525501
TUB,4.07527843042942e-25,3.0943086,1.6296171
OSGEP,1.2538806054480641e-24,2.199515,1.1371855
A430035B10RIK,7.889059096932815e-24,2.8272963,1.499423
ARL4D,8.240446323278631e-24,3.16448,1.6619685
CERKL,1.2302089688246872e-23,3.5697846,1.835837
CDR2,1.4443390262914072e-23,3.7724962,1.9155195
NT5E,3.140874239235492e-23,3.3416667,1.7405678
SCARB1,6.148581014092682e-22,2.7259946,1.4467827
ARHGEF26,1.901612463207797e-21,3.1541889,1.657269
LCA5,4.6193427662757814e-21,2.8601446,1.5160881
KCNV2,9.165983451161866e-21,3.0789561,1.6224413
RAX,1.2201412053375007e-20,2.7612062,1.4652987
PPM1N,2.1555313020832343e-20,3.0916014,1.6283543
POLG2,2.7544303060753925e-20,3.3415205,1.7405047
GUCA1A,4.4044911837010674e-20,2.9114523,1.541739
SLC16A6,6.051220167524946e-20,3.2484734,1.6997619
WDR31,7.892112912364493e-20,3.3253112,1.7334894
PLEKHF2,9.305334862010488e-20,3.4846113,1.8009977
GM514,1.1909187908317878e-19,3.554161,1.829509
SYNE2,2.151510065030995e-18,2.7900977,1.4803157
WDR60,6.25927105442157e-18,2.4356682,1.2843176
TRIB1,1.0894283831859169e-17,2.9666061,1.5688134
CDS1,2.078826183190955e-17,3.5888436,1.8435191
ADCY1,3.627303235333536e-17,3.8907588,1.9600515
GALNT7,5.3994750381462034e-17,2.3924243,1.2584733
ARL13B,6.568952365542222e-17,2.675009,1.4195437
CRB1,2.631684737657047e-16,3.9237196,1.972222
ADD3,1.0607478639352844e-15,2.4559708,1.2962934
PLA2R1,1.0792828124196468e-15,3.0859425,1.6257112
PPEF2,1.4489351594497838e-15,2.167009,1.1157053
SLC26A2,1.6443505319356944e-15,3.267937,1.7083801
BC027072,1.7438670790186312e-15,3.175948,1.6671872
CCDC173,1.7536899130430733e-15,2.7903547,1.4804485
PODXL,3.985258086273312e-15,3.3323274,1.7365302
ANO2,7.894502948087536e-15,3.2857733,1.7162329
MYLK,1.2226557466044435e-14,2.5120459,1.3288628
JAG1,2.617904525585088e-14,3.253446,1.7019687
DPF3,1.0075604128819788e-13,2.7034845,1.43482
FRMD4B,1.0666721412549002e-13,2.5827014,1.3688809
SLC16A1,3.636784627876095e-13,2.8653395,1.5187061
HIST1H1C,1.5006044194873261e-12,2.54835,1.3495635
CCDC24,5.069706527659027e-12,2.4718344,1.305582
AGTRAP,5.864097756429448e-12,3.270931,1.7097013
ARHGAP10,4.169890664193521e-11,2.5086532,1.326913
WWC2,5.065258543812555e-11,2.984144,1.5773171
CC2D2A,2.2781310083744302e-10,2.031758,1.0227287
SPRY2,1.6317977006822904e-09,2.0883384,1.0623555
CTNNA1,3.075425063686229e-09,2.4022827,1.264406
ASRGL1,1.0518764855177148e-08,2.195773,1.1347289
NR3C1,1.0987629080897567e-08,2.315798,1.2115095
HTRA1,1.7545082572459064e-08,3.1344516,1.648213
CDKN1C,7.615465365258885e-08,3.440165,1.7824777
RGS20,2.0436742677914702e-07,2.681854,1.4232306
CEP164,4.680360929939924e-07,2.0510166,1.0363392
SNTB2,3.165741246327228e-06,2.136901,1.09552
CNTLN,3.299259237926222e-06,2.0993533,1.069945
STMN2,0.04213207282746365,0.18193112,-2.4585357
CDK14,0.03215546087135663,0.25415182,-1.9762375
SPC25,0.0279527778048648,0.40749773,-1.2951361
SPARCL1,0.02426452371070835,0.18654221,-2.422426
SLC6A1,0.021643140583164248,0.12458908,-3.0047505
SLC32A1,0.017350570979125433,0.07963777,-3.6504033
NHLH2,0.011464556617006256,0.11671659,-3.0989184
DAPL1,0.0060523237369954665,0.344799,-1.5361725
KCNE2,0.002565294128786671,0.14410533,-2.7948043
PRDX6,0.0023469917228989222,0.2624688,-1.929782
TFAP2B,0.002197994596535468,0.1269121,-2.9780984
OSBPL1A,0.001556624784537091,0.4625836,-1.112214
DKK3,0.0009476304725215513,0.2285325,-2.1295288
PAX6,0.0006218700679553826,0.1669581,-2.582442
ASAP1,0.0006182775091661513,0.48247573,-1.0514717
ATP1B1,0.0005993941124156091,0.18626796,-2.4245486
VSNL1,0.0003525603638990913,0.12407538,-3.0107112
ELAVL3,0.0003256658359674529,0.139727,-2.8393173
RGS2,0.00031442236869261373,0.17373678,-2.525025
RPH3A,0.000134678001923865,0.19114862,-2.3872333
DTNBP1,2.537904074975117e-05,0.29435495,-1.7643713
RLBP1,2.0825839441819293e-05,0.28708065,-1.800472
APOE,1.698374717454681e-05,0.34585485,-1.5317614
MYO6,1.4819427694455664e-05,0.43727535,-1.1933861
CACNG4,1.3249490525348635e-05,0.10554481,-3.2440724
DLGAP1,1.3007593942335185e-05,0.07684332,-3.7019362
CTTNBP2,7.839384681244538e-06,0.30899304,-1.6943537
CLU,6.290897224202172e-06,0.39836845,-1.3278247
OGFRL1,2.5117173887757026e-06,0.4243047,-1.2368275
TPM3-RS7,2.2297186589283012e-06,0.24989133,-2.0006273
QDPR,2.1050866587862766e-06,0.36466146,-1.4553704
CACNA2D2,1.982004098911068e-06,0.12975357,-2.9461539
CCDC50,1.5938923854169972e-06,0.4505945,-1.1500983
COL23A1,1.4098713379164415e-06,0.04261594,-4.552463
CAPNS1,1.0972919913019445e-06,0.28217468,-1.8253396
NCOA7,8.690580124906019e-07,0.35250285,-1.5042932
TPM1,7.428205262674925e-07,0.41050005,-1.2845457
DAB1,6.666280128037052e-07,0.1210166,-3.0467231
SPARC,3.6117282265726206e-07,0.2300596,-2.1199205
FAM49B,3.5448218387646937e-07,0.38166803,-1.3896097
CYLD,3.2627796163085976e-07,0.3907784,-1.3555773
H1F0,2.125486369821225e-07,0.47743148,-1.0666344
ARF4,1.0688494096879067e-07,0.39382237,-1.344383
ADARB1,7.788780200841899e-08,0.24244265,-2.0442846
CDK5R1,7.629154396098151e-08,0.28789923,-1.7963642
IMPACT,5.076190769537912e-08,0.37728804,-1.4062617
DNER,1.147043106144546e-08,0.06699134,-3.8998816
RAB6B,1.1203457988138627e-08,0.43018192,-1.2169812
TTC1,1.0168347460636813e-08,0.47248453,-1.081661
NAV1,6.866590222050025e-09,0.32068864,-1.6407548
ACOT7,4.08864922291894e-09,0.28116468,-1.8305128
LIMCH1,3.4506422781224045e-09,0.39997467,-1.3220195
TPM3,1.2410832478746947e-09,0.27860695,-1.8436968
NSG2,1.1856180125174118e-09,0.16452728,-2.6036012
ZFP365,1.038450512572176e-09,0.47945112,-1.0605444
NRXN1,7.873423985487751e-10,0.04262966,-4.5519986
NASP,1.1907652754891913e-10,0.33941787,-1.5588655
DBI,6.278231528750031e-11,0.4171637,-1.2613145
CCNG1,5.798536408273468e-11,0.36856368,-1.4400141
SIX6,4.397054592155778e-11,0.116057076,-3.1070936
GM1673,3.156316168245014e-11,0.08987458,-3.475943
SPOCK3,3.102121334736015e-11,0.03717351,-4.7495813
SLC4A3,2.3904293693382804e-11,0.058233015,-4.102019
GNAT2,7.719345583425918e-12,0.12697835,-2.9773455
NUDT4,5.647769940557446e-12,0.28329185,-1.8196391
LSAMP,5.314051980376578e-12,0.04043599,-4.6282163
MYT1L,4.630912447335347e-12,0.040691365,-4.6191335
CKAP4,1.4936373716082695e-12,0.28681365,-1.8018144
EIF1B,1.3494498931206486e-12,0.46153623,-1.1154842
GJD2,8.000062214531163e-13,0.33840078,-1.5631952
CDH2,4.835345981391573e-13,0.29685822,-1.752154
SYNPR,4.696378160171324e-13,0.06374531,-3.9715369
GLUL,1.7337209172576272e-13,0.365177,-1.4533322
REEP5,7.084880374230628e-14,0.16029882,-2.6411643
OXR1,4.8728759941449835e-14,0.35209757,-1.5059528
IFT20,4.7206965751761975e-14,0.4227987,-1.2419572
GNAI2,4.158946282263837e-14,0.09753484,-3.3579385
RPA1,3.967201526535826e-14,0.23346242,-2.0987377
MT1,2.2375389515801084e-14,0.07733932,-3.6926541
SELM,2.051222013208292e-14,0.064402305,-3.956744
YWHAH,1.4682507178128197e-14,0.24379301,-2.0362713
OSBPL6,7.137536527374192e-15,0.26996997,-1.8891292
TKT,5.481845395244092e-15,0.16336474,-2.6138315
GRIA4,4.3360682491336475e-15,0.036189005,-4.788305
DZIP3,2.4759706154463546e-15,0.2102879,-2.2495623
NRCAM,1.7536899130430733e-15,0.06936571,-3.8496335
CCDC136,9.259964201490812e-16,0.09532436,-3.3910112
