"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007492","GO:0007492","endoderm development","22/1935","90/18860",0.244444444444444,2.38254378409417,4.44532469977573,8.48457464707034e-05,0.00274318691538707,0.00220016912048512,"COL11A1/INHBA/COL8A1/COL5A2/MMP14/COL12A1/DUSP4/COL7A1/APELA/COL5A1/PAX9/MMP8/MMP2/MMP9/TBX20/COL4A2/MIXL1/MESP1/NODAL/DKK1/FN1/ITGA5",22
"GO:0055123","GO:0055123","digestive system development","32/1935","155/18860",0.206451612903226,2.01223639243144,4.27862689037041,8.92441817727577e-05,0.00286927522962134,0.00230129807158802,"CXCL8/PDX1/STRA6/WNT5A/COL3A1/SOX11/SOX9/BCL2/TCF21/PCSK5/HMGCS2/NPY/SHH/KIT/WNT11/CLDN18/CCNB1/TMIGD1/MIXL1/EPHB3/ASCL1/CPS1/SALL1/FOXF2/TP73/NODAL/NKX2-3/PYY/TGFB2/FGFR2/NKX3-2/OTC",32
"GO:0045833","GO:0045833","negative regulation of lipid metabolic process","27/1935","122/18860",0.221311475409836,2.15707205489897,4.33525032141177,9.08754064991213e-05,0.00290548869112468,0.00233034302630788,"IL1B/SPHK1/UGT1A1/SNAI1/APPL2/SOX9/HCAR2/TRIB3/BMP2/BMP5/ADRA2A/PDGFB/FGF19/CIDEC/UGT1A10/HCAR1/UGT1A8/FMO2/DGAT2/GPER1/CEACAM1/FMO1/GPLD1/ACADL/APOBEC1/UGT1A7/UGT1A9",27
"GO:0042391","GO:0042391","regulation of membrane potential","75/1935","474/18860",0.158227848101266,1.54221044712655,4.04248949837687,9.3938804458648e-05,0.00294965849658301,0.00236576935525474,"PMAIP1/GJC1/ANK3/MET/GRIN2D/GRIN2B/NTSR1/PYCR1/CNIH3/CACNA1C/CNR2/KCNH8/GABRD/GLRB/SLC4A11/CNGB1/OPRD1/ATP1B2/AGT/KCNA3/BCL2/CACNA1D/KCNK9/GRIN3A/CTNNA3/P2RX1/FZD9/HCN1/KCNH2/GRIN2A/SLC17A7/P2RX6/SLC8A3/KCNH4/SLC26A3/SLC4A4/KCNE4/TBX18/CDKN2A/IFI6/KCNH1/HTR3E/GRIA3/P2RX2/KCNQ5/FXYD1/ADRA1A/ATP1A2/UCN3/HTR3C/ABCC8/ANK2/DRD2/ADRB1/GPER1/CCN6/SHANK1/KCTD16/KCNE2/KCNB2/SLC29A1/TRPV1/RYR2/ASIC1/RGS4/CLDN19/KCNK2/SLC1A7/CAV3/GRIA4/CLCN1/RIMS4/GABRB3/CUX2/GABRG2",75
"GO:0043410","GO:0043410","positive regulation of MAPK cascade","75/1935","474/18860",0.158227848101266,1.54221044712655,4.04248949837687,9.3938804458648e-05,0.00294965849658301,0.00236576935525474,"INHBA/IL11/OSM/NOX4/F2R/WNT5A/IL1B/SPHK1/APELA/JCAD/IL6/GDF15/RIPK2/IL6R/FPR2/PDGFRB/GCNT2/CD44/CRIPTO/WNT7B/PLCG2/CD27/FGF18/MAP4K1/ALKAL1/SLC30A10/VEGFA/IQGAP3/RELL1/BMP2/CD3E/UNC5CL/NKD1/KLB/ADRA2A/PDGFB/ZAP70/TPD52L1/CXCL17/PDGFD/FLT3/P2RY1/NPY/FGF19/FCRL3/KIT/LILRA5/FZD10/NPSR1/CSPG4/DOK5/AVPR1B/FGF1/EDN3/PLCB1/TNFAIP8L3/ADRA1A/NECAB2/ALKAL2/GHR/GCG/DRD2/ADRB1/GPER1/BANK1/FGF5/TRPV4/TP73/NODAL/TNFSF11/DKK1/TGFB2/FGFR2/ADRA2C/LEP",75
"GO:0007498","GO:0007498","mesoderm development","30/1935","142/18860",0.211267605633803,2.05917676602249,4.28369333446513,9.43070657465289e-05,0.00294965849658301,0.00236576935525474,"INHBA/WNT5A/APELA/SNAI1/ITGA2/LEF1/VEGFA/KLF4/ITGA8/BMP7/IKZF3/PUS7/TBX20/SHH/WNT11/POU4F1/MIXL1/HAND1/IRX3/SECTM1/MESP1/TLX2/NODAL/WNT3/BMX/DKK1/FGFR2/DAND5/FOXC2/AMH",30
"GO:0030879","GO:0030879","mammary gland development","30/1935","142/18860",0.211267605633803,2.05917676602249,4.28369333446513,9.43070657465289e-05,0.00294965849658301,0.00236576935525474,"WNT2/WNT5A/MSX2/APLN/NME1/ITGA2/LEF1/CEBPB/SOX9/CRIPTO/WNT7B/BRCA2/VEGFA/IQGAP3/NOTCH4/SLC22A4/AREG/CDKN2A/NTN1/OXTR/NEURL1/IGFBP5/ESR1/SLC29A1/CYP19A1/TNFSF11/WNT3/FGFR2/CAV3/ELF5",30
"GO:0048880","GO:0048880","sensory system development","71/1935","443/18860",0.160270880361174,1.56212341271924,4.04817771303294,9.55711095020631e-05,0.00297303640640202,0.0023845195742051,"INHBA/COL8A1/RCN1/COL5A2/MFAP2/WNT2/SH3PXD2B/STRA6/WNT5A/SOX11/SOX4/COL5A1/FJX1/PDGFRB/MYOM1/THY1/ADAMTS9/TFAP2A/PDE6A/COL4A1/SOX9/BFSP1/WNT7B/SLC17A8/CACNA1C/TWIST1/ALDH1A3/VEGFA/KLF4/BCL2/NKD1/PXDN/LAMC3/TGIF2/FREM2/HES5/RAB37/P2RY12/WT1/BMP7/LAMA1/HCN1/SLC1A1/SPRED3/CALB1/SLC17A7/THRB/GRHL3/PLAAT3/SHH/POU4F1/BMP6/SLITRK6/KRT12/MYH15/EPHB1/FASLG/VSX1/DRD2/PRSS56/FOXF2/RP1L1/MAB21L1/OLFM3/PAX4/BFSP2/CLDN19/OPN4/TGFB2/FOXC2/GNGT1",71
"GO:0150063","GO:0150063","visual system development","70/1935","436/18860",0.160550458715596,1.564848398644,4.03476885953104,0.000101043249691209,0.00312636506437046,0.00250749660382541,"INHBA/COL8A1/RCN1/COL5A2/MFAP2/WNT2/SH3PXD2B/STRA6/WNT5A/SOX11/SOX4/COL5A1/FJX1/PDGFRB/MYOM1/THY1/ADAMTS9/TFAP2A/PDE6A/COL4A1/SOX9/BFSP1/WNT7B/SLC17A8/CACNA1C/TWIST1/ALDH1A3/VEGFA/KLF4/BCL2/NKD1/PXDN/LAMC3/TGIF2/FREM2/HES5/RAB37/P2RY12/WT1/BMP7/LAMA1/HCN1/SLC1A1/SPRED3/CALB1/SLC17A7/THRB/GRHL3/PLAAT3/SHH/BMP6/SLITRK6/KRT12/MYH15/EPHB1/FASLG/VSX1/DRD2/PRSS56/FOXF2/RP1L1/MAB21L1/OLFM3/PAX4/BFSP2/CLDN19/OPN4/TGFB2/FOXC2/GNGT1",70
"GO:0006939","GO:0006939","smooth muscle contraction","25/1935","110/18860",0.227272727272727,2.21517500587268,4.32185319878525,0.000103857845391415,0.00319626684613687,0.00256356122736479,"SULF1/EDNRA/COMP/F2R/SPHK1/HTR1D/ITGA2/NMU/HTR7/ADRA2A/TNNI3/P2RX1/PROK2/KIT/EDN3/P2RX2/ADRA1A/ATP1A2/DRD2/EDN2/GPER1/KCNB2/TRPV1/SCNN1B/ADRA2C",25
"GO:0016042","GO:0016042","lipid catabolic process","59/1935","352/18860",0.167613636363636,1.6336915668311,4.0579341023214,0.000105452748486694,0.00322808812521769,0.00258908343848911,"PLIN1/LIPC/ACAT1/IL1B/SPHK1/FUT1/FUCA1/CYP3A4/ACAA2/ETFDH/NAAA/SPP1/LIPG/ABCB11/CYP27B1/PLCG2/TWIST1/HPGD/ACADS/PLCE1/HCAR2/ABHD3/LIPN/PLCD1/CYP24A1/CEL/PLCD3/ADRA2A/ENPP6/PLCB4/CYP4F12/PLAAT2/GPIHBP1/GDPD3/PLA2G2D/PNPLA3/ABCD2/AKR1B10/PCK1/PLA2G4E/GBA3/ALDH3B2/PLAAT3/CIDEC/PNPLA7/HCAR1/DPEP1/DPEP3/PLCB1/ADIPOQ/CPS1/ADTRP/NEU4/CYP19A1/GPLD1/ACADL/ENPP7/CYP2W1/LEP",59
"GO:0044706","GO:0044706","multi-multicellular organism process","42/1935","227/18860",0.185022026431718,1.80336714134481,4.11738120263918,0.000114203623195804,0.00346655954734709,0.00278034909966016,"ANGPT2/STC1/TEAD4/CORIN/IL1B/APELA/ITGA2/APLF/SPP1/CYP27B1/CRHBP/HPGD/STC2/DCAF13/PNOC/VEGFA/BCL2/IGFBP7/SLC2A1/MMP2/ADRA2A/EPYC/SERPINE2/P2RX1/PTGS2/MMP9/TIMP1/DSG1/PCSK5/CLIC5/OXTR/STOX2/IGFBP5/PTN/ESR1/HSD11B2/ABCC8/IDO1/NODAL/HMX3/ITGA5/LEP",42
"GO:0001909","GO:0001909","leukocyte mediated cytotoxicity","32/1935","157/18860",0.203821656050955,1.98660280781448,4.19731934212214,0.000115056985523719,0.00346655954734709,0.00278034909966016,"TREM1/ULBP1/STAP1/RAET1L/IL23A/FCGR3B/DAO/CXCL6/DNASE1L3/KLRB1/ULBP2/AZGP1/SLAMF7/FCGR3A/CD160/ULBP3/FCGR1A/IGHG1/KIR2DL4/CRTAM/GZMM/NECTIN4/KLRC1/GZMB/KLRC4/RAET1G/KLRC3/CEACAM1/KLRC2/SCNN1B/RAET1E/LEP",32
